Pathway level1,Pathway level2,Pathway level3,Description,WHYD200513786_A,DGN16SxfsMAaA_12_117,SLM0122_JX,DGN16SxfsMCaB_22_109,YGF0137_JX,DGN16SxfsMAaA_12_122,YMS0125_JX,HSR0114_JX,SZL0119_JX,WHYD200513765_A,WHYD200513800_A,WHYD200513773_A,JFQ0138_JX,CKH0135_JX,HM0120_JX,FW0124_JX,PXX0136_JX,LMS0134_JX,FMS0129_JX,LGZ0123_JX,DGN16SxfsMCaB_20_109,ZXL0117_JX,LJK0127_JX,DGN16SxfsMCaB_19_109,WY0132_JX,CGH0116_JX,LWM0133_JX,ZJD0111_JX,FQT0113_JX,CWZ0121_JX,DGN16SxfsMCaB_21_109,WHYD200513766_A
Organismal Systems,Endocrine system,ko04910,Insulin signaling pathway,86052.83,61574.98,70555.66,96390.74,82495.16,59260.18,58747.96,53336.18,60178.45,82734.46,102209.36,57070.62,71967.36,27086.49,65108.79,48441.05,79139.98,56330.08,102238.72,73669.71,136356.39,51729.97,136018.9,72597.42,103254.23,75718.94,80872.65,59467.55,71296.62,101349.93,66500.54,102771.24
Metabolism,Biosynthesis of other secondary metabolites,ko00966,Glucosinolate biosynthesis,88405.72,60019.11,70077.77,76468.31,76735.71,71344.13,66211.18,64072.46,65728.34,83626.28,117978.68,92164.94,73170.37,24364.03,70036.83,45660.23,74105.33,60099.4,78986.47,83676.78,96666.73,53306.98,101009.9,82196.05,88852.77,72425.76,72999.02,58146.88,98257.84,81868.11,63046.66,101990.74
Metabolism,Biosynthesis of other secondary metabolites,ko00998,Biosynthesis of various secondary metabolites - part 2,83891.93,70501.42,84813.3,57128.01,57550.67,67141.06,68935.51,62612.32,65878.19,87090.45,113225.28,89448.54,77790.37,19638.53,71313.73,53191.39,76857.12,60666.24,61049.49,86170.81,77578.56,58096.58,66277.17,58976.69,71002.7,78575.55,80677.57,62476.5,99806.37,66788.41,71790.59,120865.48
Metabolism,Xenobiotics biodegradation and metabolism,ko00625,Chloroalkane and chloroalkene degradation,80797.39,60579.54,63003.36,117035.54,46815.08,37784.41,71402.75,64007.13,36429.38,95678.16,133360.76,61242.33,85909.15,35234.09,77984.98,25741.09,55816.7,54069.53,31150.23,67705.7,95431.83,41710.3,153836.21,78851,130203.21,77714.46,60033.21,56642.31,46069.47,91847.01,42606.42,93765.84
Metabolism,Biosynthesis of other secondary metabolites,ko00332,Carbapenem biosynthesis,84784.4,59234.52,67658.32,75465.97,83116.22,75960.92,66005.32,61875.58,48941.18,83162.04,91432.86,74215.3,61634.42,25978.44,62650.72,31101.72,64204.88,53883.28,78352.92,76667.34,95931.86,51941.48,98897.02,75662.93,77424.46,70382.2,72475.3,51277.28,40064.72,80330.66,58367.27,100939.72
Organismal Systems,Aging,ko04213,Longevity regulating pathway - multiple species,59044.85,59740.84,39654.67,118982.69,63970.86,44544.82,50254.52,53083.86,46123.03,47881.43,69271.25,105840.46,57284.82,40921.58,61216.33,52265.05,61393.96,51493.4,54817.96,60438.48,74012.02,39428.74,182336.81,102767,143557.7,49139.86,41045.04,61614.14,95529.71,112237.93,48082.52,40209.99
Genetic Information Processing,Translation,ko03013,RNA transport,73516.24,55810.75,63416.08,91645.1,60833.47,42059.61,54504.39,59585.51,41441.08,70552.24,112554.54,65673.47,69316.18,24271.48,58991.93,46071.02,66618.79,51979.66,76613.11,70090.26,95605.76,46678,129865.31,69483.38,106299.08,68589.07,64018.81,50624.77,67237.85,95346.32,54579.43,70024.64
Cellular Processes,Cell growth and death,ko04216,Ferroptosis,40267.56,81010.17,44717.82,48792.4,76934.56,24818.1,63801.99,71943.83,84155.59,25620.87,84401.99,143294.55,57400.4,21738.73,77724.6,74237.65,60815.26,58517.8,75709.28,63973.16,121339.53,50281.56,73659.11,65738.53,95144.28,53841.67,40102.24,73957.18,118418.03,89552.46,71226.72,13283.8
Metabolism,Lipid metabolism,ko00121,Secondary bile acid biosynthesis,81398.43,57516.09,72162.11,93137.29,55011.54,45511.04,56135.77,53095.34,60641.83,77572.4,140623.23,41454.1,67543.44,24353.71,57326.75,32286.45,73797.61,49430.33,53575.77,74212.85,82123.63,47344.06,102356.7,58141.4,91488.95,69996.37,76842.88,58855.52,40327.51,77191.21,68367.28,89807.98
Genetic Information Processing,"Folding, sorting and degradation",ko04141,Protein processing in endoplasmic reticulum,75529.36,61561.56,57684.74,35678.06,91117.08,72240.65,62070.34,53247.26,73958.9,72344.74,59211,77868.07,65711.79,13431.7,55851.03,60296.5,60751.11,50642.73,99359.69,72990.35,98901.52,46353.66,60024.53,66482.42,53631.22,68204.38,56721.1,53848.13,82519.19,71921,52458.12,81370.78
Human Diseases,Infectious disease: bacterial,ko05133,Pertussis,13654.84,30778.01,13299.57,225391.4,31204.64,4467.64,21042.73,25295.08,42398.74,4550.27,16254.22,62683.74,29269.31,70472.34,28182.04,37081.27,41850.7,35143.22,23880,25318.99,40451.17,18847.93,398512.67,120175.51,259387.88,22829.3,5488.44,44666.44,47823.29,196766.82,25664.15,2421.39
Metabolism,Biosynthesis of other secondary metabolites,ko00524,"Neomycin, kanamycin and gentamicin biosynthesis",73630.88,59124.94,48726.51,39766.69,54940,49767.96,57054.1,57182.26,49041.03,66476.55,87689.38,58638.91,69544.69,13613.54,55759.18,46968.98,62849.48,47358.94,55069.9,74276.41,127659.85,39611.65,54918.94,63725.13,63426.69,57534.35,50565.48,46093.99,61900.74,60758.6,40114.87,67371.32
Human Diseases,Cancer: overview,ko05200,Pathways in cancer,45620.12,39228.26,37062.41,109294.24,56484.1,39945.72,45718.01,37077.31,50384.01,44587.96,57377.27,49066.92,48663.84,35336.19,54612.09,41049.95,46965.24,39691.19,43877.74,44444.77,70688.58,35580.82,183318.32,78184.24,126108.7,40612.81,38622.28,40405.56,56673.74,101696.38,35409.11,53920.6
Organismal Systems,Endocrine system,ko04920,Adipocytokine signaling pathway,43072.06,67827.37,35666.99,29202.13,65824.1,30350.84,55730.99,60907.95,65108.05,24685.07,79679.1,112922.68,44456.08,13757.62,68889.35,64127.86,48393.11,51840.83,66354.16,56831.46,99875.58,42743.06,41785.64,57750.36,63933.17,47594.06,36023.3,57985.82,84283.02,65799.03,59634.93,28437.14
Human Diseases,Endocrine and metabolic disease,ko04940,Type I diabetes mellitus,50659.9,45246.53,39448.96,94282.66,51085.18,40089.04,41918.45,41936.67,42521.79,43452.32,51415.51,50093.13,45062.06,30559.36,40778.07,41373.1,50007.18,38205.22,47156.34,50264.07,67977.88,32498.04,149201.95,74603.44,106941.58,43252.39,38078.1,40732.53,55184.39,91240.32,39040.02,53440.41
Metabolism,Xenobiotics biodegradation and metabolism,ko00633,Nitrotoluene degradation,28063.4,25636.35,38363.46,152690.38,51809.26,14237.08,35134.55,25512.37,5846.76,35181.12,61171.15,41926.81,34447.37,54440.69,42253.66,9663.78,29583.71,48134.27,57114.58,28103.49,20711.2,14769.1,254577.5,98257.77,163494.27,28059.65,18818.72,38182.85,18084.42,132089.08,22961.2,91137.72
Organismal Systems,Environmental adaptation,ko04714,Thermogenesis,32086.57,65759.37,35752,29570.46,65090.76,21913.68,54210.99,60934.46,65052.05,21468.24,79211.43,112582.01,44347.49,13231.45,72309.02,61322.02,46121.44,48390.16,65960.49,49942.97,97644.23,45349.57,39709.47,49009.83,62955.84,44730.06,30383.47,56613.98,84110.52,66410.2,58977.02,10594.47
Metabolism,Biosynthesis of other secondary metabolites,ko00405,Phenazine biosynthesis,38409.6,48252.74,48880.15,53097.97,75645.08,21382.03,38080.59,50549.39,73764.29,35680.14,79868.37,84337.96,41378.44,19930.15,43734.22,32890.2,62169.66,37753.55,71269.79,46235.73,70464.83,42261.45,59562.79,53067.59,55994.16,42217.2,44973.69,45759.96,97120.9,62611.26,59163.23,45763.41
Metabolism,Metabolism of terpenoids and polyketides,ko01053,Biosynthesis of siderophore group nonribosomal peptides,1942.76,14651.71,6502.39,227105.81,17073.48,2270.06,7146.02,9890.68,19838.86,1961.71,5617.37,38188.38,24963.48,70713.47,13380.59,13168.96,34115.21,24552.67,10645.92,8276.56,22287.93,9242.72,398441.53,111921.49,268787.87,8403.99,2735.97,52081.73,46005.84,181466.48,13150.21,849.63
Human Diseases,Infectious disease: bacterial,ko05131,Shigellosis,39906.97,12920.17,29616.26,152156.1,37288.87,31715.81,13859.48,26928.79,35236.94,34898.54,35615.33,12364.93,24652.21,44602.92,17952.07,15370.11,58646.61,26633.76,38109.08,37012.12,58575.73,28056.67,256289.97,84663.07,155179.15,25743.36,37487.01,30252.07,38741.59,122817.55,37990.28,27296.31
Metabolism,Biosynthesis of other secondary metabolites,ko00950,Isoquinoline alkaloid biosynthesis,30508.99,47002.37,29444.75,57463.03,86616.3,44690.29,40405.78,38772.77,77813.21,31696.99,57127.55,90058.05,39144.69,22947.55,39344.25,49270.56,49185.83,33006.36,68875.46,43617.85,59658.16,34277.86,82139.45,52573,69072.33,31322.25,33663.72,45567.01,89121.4,72918.7,44671.56,10414.12
Metabolism,Glycan biosynthesis and metabolism,ko00513,Various types of N-glycan biosynthesis,36445.5,84601.05,37601.61,1559.8,53189.34,14852.45,54122.52,55542.47,61828.35,7485.14,33974.71,123459.68,43604.21,3117.58,65712.17,28439.16,48168.73,52357.68,64994.66,51282.48,178562.92,39806.38,3804.95,56767.91,47315.21,50274.77,11822.75,88668.17,27204.65,55062.01,74287.97,6432.7
Metabolism,Glycan biosynthesis and metabolism,ko00604,Glycosphingolipid biosynthesis - ganglio series,36305.5,84601.05,37601.61,1559.8,53189.34,14801.45,54122.52,55506.47,61828.35,6889.14,33974.71,123456.68,43599.21,3117.58,65712.17,28359.16,48168.73,52261.68,64831.66,50835.48,178562.92,39711.38,3804.95,56370.91,47315.21,50274.77,11503.75,88667.17,27203.65,55062.01,74287.97,6432.7
Metabolism,Metabolism of terpenoids and polyketides,ko00908,Zeatin biosynthesis,45776.17,44623.02,40699.17,38340.38,48681.9,39947.74,41562.93,42632.72,56769.29,43939.73,51595.47,77012.79,48268.58,15324.72,42430.74,48686.93,48674.84,35913.93,48802.42,47958.09,67815.39,35416.88,49693.04,42665.12,47905.86,43588.81,39262.64,36276.19,82292.07,50008.49,41344.79,52861.44
Human Diseases,Endocrine and metabolic disease,ko04930,Type II diabetes mellitus,44258.3,34680.94,35575.43,58421.06,70036.15,37817,38773.59,32734.27,59877.86,43264.66,50464.88,48256.48,41567.31,21026.27,32200.18,37720.57,45402.96,30535.28,62632.49,42330.36,66258.43,27752.4,86145.24,50096.65,62538.9,37701.74,38151.5,32950.9,57031.22,64388.92,30284.93,52359.45
Metabolism,Xenobiotics biodegradation and metabolism,ko00626,Naphthalene degradation,42433.69,30739.61,33939.11,97399.47,16399.92,22627.41,36987.39,38748.02,12747.08,50624.57,69204.57,47273.04,46587.83,25988.95,37875.37,12023.47,36505.38,31979.38,18903.28,36207.26,58685.84,22054.38,145438.71,61965.55,110914.83,44796.55,30479.93,37557.54,26097.55,79756.96,27614.98,62587.76
Human Diseases,Neurodegenerative disease,ko05010,Alzheimer disease,47803.24,35359.48,36372.21,57278.8,54302.52,39762.91,42726.74,35773.76,56416.44,45537.09,48166.85,49622.96,40282.38,21117.3,43317.19,39398.13,39613.56,32936.18,40295.78,44314.57,48666.02,35275.38,83155.54,54295.25,62607.88,36714.98,39092.16,33463.85,53945.42,55943.5,30758.58,53727.11
Environmental Information Processing,Signal transduction,ko04016,MAPK signaling pathway - plant,36528.82,42068.55,22058.18,68938.06,66294.14,37823.83,36175.54,30425.7,22324.54,36473.12,30445.58,73713.53,39938.21,29555.8,39870.98,29605.72,33492.9,31426.01,60394.81,34100.2,41173.96,21089.6,111826.53,61820.85,84409.84,33312.86,22361.13,36651.62,53519.02,75479.15,25757.03,33056.08
Genetic Information Processing,Translation,ko03008,Ribosome biogenesis in eukaryotes,44481.85,32141.55,35396.96,57478.21,43025.3,38757.66,36367.13,33697.01,38348.93,42632.59,48324.72,51602.04,39282.1,19762.36,34849.44,36556.88,38469.38,31715.51,41003.2,41489.31,48234.54,28162.05,82732.87,48395.96,60624.43,37091.76,36810.27,27764.04,51389.82,55083.43,32513.33,52415.36
Human Diseases,Infectious disease: viral,ko05165,Human papillomavirus infection,43879.5,31125.04,35083.38,58230.66,47632.3,36243.35,34177.64,31862.02,46896.26,42579.36,47764.38,44485.03,37214.86,20448.97,29997.78,36156.22,40223.21,27820.83,38471.19,41364.96,46627.93,26994.55,82792.24,49664.9,60518.05,34848.74,36975.45,29076.2,52476.67,55362.27,28201.88,52324.7
Human Diseases,Cancer: overview,ko05203,Viral carcinogenesis,43868.5,31070.04,35061.38,58230.66,47621.3,36242.35,34170.64,31817.02,46896.26,42576.36,47764.38,44483.03,37214.86,20447.97,29996.78,36151.22,40223.21,27762.83,38463.19,41355.96,46507.93,26994.55,82792.24,49659.9,60426.05,34842.74,36969.45,28957.2,52476.67,55362.27,28201.88,52323.7
Environmental Information Processing,Signal transduction,ko04151,PI3K-Akt signaling pathway,54629.28,36472.76,35721.69,33287.93,41276.73,44994.21,35283.89,33767.52,37907.15,46095.25,47428.85,41292.5,39087.15,11770.99,36488.83,40047.76,39955.08,33282.55,42058.78,48448.27,67088.94,29129.39,51580.12,47058.68,42264.08,38851.76,41873.01,28892.45,47515.73,42321.78,32211.48,69864.83
Human Diseases,Neurodegenerative disease,ko05016,Huntington disease,15600.05,29313.68,24631.57,89043.21,25910.16,18282.69,25360.56,23943.88,47304.44,12927.6,28747.99,51556.4,33490.92,31849.44,44151.16,43893.51,38703.75,28800.91,19864.87,22485.52,51809.33,31061.75,137176.81,63990.91,102772.72,18828,10868.14,38653.95,81395.5,74393.14,26412.1,22632.1
Metabolism,Metabolism of cofactors and vitamins,ko00785,Lipoic acid metabolism,26764.55,43048.6,16109.84,59499.74,42561.64,15360.31,30512.48,36976.99,28962.7,10875.4,30052.76,65887.73,34086.58,21889.28,38358.87,29862.26,36622.98,37079.92,45429.95,31196.4,68459.09,23575.66,104340.44,68273.29,87704.79,24790.99,10090.03,45196.52,75712.4,72776.61,32702,5238.91
Metabolism,Metabolism of terpenoids and polyketides,ko01055,Biosynthesis of vancomycin group antibiotics,41607.22,36931.65,36473.54,37047.1,41181.89,32150.08,31586,38665.03,31754.2,41025.72,67757.38,45084.4,39914.8,10184.88,37413.95,47813.34,40492.35,29847.42,45180.63,42099.71,86301.98,26939.05,48263.05,43142.98,45905.7,38326.16,33154.59,31061.29,50146.18,47595.59,34136.1,36885.09
Metabolism,Xenobiotics biodegradation and metabolism,ko00627,Aminobenzoate degradation,30505.13,18172.99,12377.2,103515.59,51264.76,20600.03,14605.7,15774.01,4589.91,17911.37,69635.44,12534.34,18177.18,33684.47,29474.08,49909.82,18415.94,29990.19,47865.61,20146.92,22337.97,16899.18,183888.54,87811.25,125389.45,14424.76,19232.86,33212.31,15562.14,95630.52,13595.65,40326.3
Human Diseases,Cancer: overview,ko05205,Proteoglycans in cancer,44394.35,32460.09,35372.99,38038.01,41941.2,38198.99,34011.86,32253.68,38374.59,42436.43,48848.77,47104.06,37971.43,14077.22,33114.8,36479.59,36439.28,29085.4,39750.29,41227.69,47819.39,27149.72,49511.26,39601.06,40388.09,36326.85,36715.15,28068.14,49779.52,40491.08,31949.3,52378.69
Organismal Systems,Immune system,ko04657,IL-17 signaling pathway,43216.79,34341.76,34992.7,33256.72,40015.39,36559.05,33590.89,32276.03,37851.15,42346.42,45749.18,40928.83,38704.76,10804.32,33372.5,36964.92,37626.41,29097.88,41651.11,41432.78,64596.97,27073.9,49479.95,38115.73,41008.75,35968.76,36198.18,26968.61,47305.23,42220.95,31464.72,52017.16
Organismal Systems,Immune system,ko04612,Antigen processing and presentation,43216.79,34341.76,34992.7,33256.72,40015.39,36556.05,33590.89,32276.03,37851.15,42346.42,45749.18,40928.83,38704.76,10804.32,33372.5,36963.92,37626.41,29097.88,41651.11,41432.78,64596.97,27073.9,49476.95,38115.73,41008.75,35968.76,36198.18,26968.61,47305.23,42219.95,31464.72,52017.16
Organismal Systems,Endocrine system,ko04915,Estrogen signaling pathway,43216.79,34341.76,34992.7,33256.72,40015.39,36556.05,33590.89,32276.03,37851.15,42346.42,45749.18,40928.83,38704.76,10804.32,33372.5,36963.92,37626.41,29097.88,41651.11,41432.78,64596.97,27073.9,49476.95,38115.73,41008.75,35968.76,36198.18,26968.61,47305.23,42219.95,31464.72,52017.16
Organismal Systems,Endocrine system,ko04914,Progesterone-mediated oocyte maturation,43216.79,34341.76,34992.7,33256.72,40015.39,36556.05,33590.89,32276.03,37851.15,42346.42,45749.18,40928.83,38704.76,10804.32,33372.5,36963.92,37626.41,29097.88,41651.11,41432.78,64596.97,27073.9,49476.95,38115.73,41008.75,35968.76,36198.18,26968.61,47305.23,42219.95,31464.72,52017.16
Human Diseases,Cancer: specific types,ko05215,Prostate cancer,43216.79,34341.76,34992.7,33256.72,40015.39,36556.05,33590.89,32276.03,37851.15,42346.42,45749.18,40928.83,38704.76,10804.32,33372.5,36963.92,37626.41,29097.88,41651.11,41432.78,64596.97,27073.9,49476.95,38115.73,41008.75,35968.76,36198.18,26968.61,47305.23,42219.95,31464.72,52017.16
Organismal Systems,Immune system,ko04659,Th17 cell differentiation,43216.79,34341.76,34992.7,33256.72,40015.39,36556.05,33590.89,32276.03,37851.15,42346.42,45749.18,40928.83,38704.76,10804.32,33372.5,36963.92,37626.41,29097.88,41651.11,41432.78,64596.97,27073.9,49476.95,38115.73,41008.75,35968.76,36198.18,26968.61,47305.23,42219.95,31464.72,52017.16
Human Diseases,Immune disease,ko05340,Primary immunodeficiency,34448.48,24203.99,25644.77,59428.73,31505.85,15714.93,23596.55,29086.21,29350.76,25107.89,49561.97,50100.49,32088.76,16633.74,28881.83,40259.43,40493.23,23769.8,38909.28,32875.6,38706.08,24942.17,80122.91,36212.7,64047.29,26165.66,37424.46,27211.57,78557.72,57466.27,32967.59,25661.14
Human Diseases,Drug resistance: antineoplastic,ko01524,Platinum drug resistance,28089.87,17091.89,14934.31,82166.26,37266.37,32999.63,22772.05,15926.5,13769.16,32534.11,22869,17007.9,25259.94,30182.91,29672.71,23584.15,20978.19,20390.75,27022.67,24036.85,18833.37,16521.56,141240.4,56993.48,91846.91,20782.26,18853.47,20811.33,16012.33,72590.19,8122.33,31523.47
Environmental Information Processing,Signal transduction,ko04068,FoxO signaling pathway,26362.65,26066.15,8552.34,61589.03,19439.94,16490.88,17530.96,21523,8399.95,9561.92,8975.39,56525.38,18248.84,23978.91,23295.71,18047.18,24417.9,24275.87,13884.04,25248.62,24557.76,13247.25,102822.95,61059.02,77258.05,15893.19,9459.39,27561.44,43881.29,55670.64,16728.94,20195.51
Metabolism,Xenobiotics biodegradation and metabolism,ko00980,Metabolism of xenobiotics by cytochrome P450,7719.22,14788.29,6879.97,97725.74,14502.49,2777.59,13027.41,16972.21,6248.94,7704.02,20345.87,44219.47,12778.86,29346.51,22856.24,5641.8,16981.05,17541.45,11858.49,10663.9,25230.29,14008.83,167421.12,54105.85,113952.14,11230.41,7642.65,26954.29,12530.16,84458.27,15153.28,3579.78
Metabolism,Xenobiotics biodegradation and metabolism,ko00982,Drug metabolism - cytochrome P450,7785.66,14644.89,6919.76,97803.54,14490.29,2865.39,12993.21,16952.81,6244.94,7703.82,19754.67,44122.27,12640.86,29238.09,22520.64,5743.1,16991.05,17362.05,11848.89,10707.74,25136.75,13996.23,167389.12,54073.35,112965.28,11226.21,7778.95,25679.29,12499.34,83803.47,15021.84,3567.78
Human Diseases,Neurodegenerative disease,ko05014,Amyotrophic lateral sclerosis (ALS),12475.35,19105.45,17406.82,65512.68,18341.16,11113.21,16113.44,12106.31,42814.47,9619.17,23499.73,33313.39,22531.49,20574.32,26119.1,32663.99,24176.2,16961.39,10266.7,15334.53,30208.47,19113.35,103150.59,46471.37,76438.42,10764.43,8768.54,26894.83,45304.49,51431.79,14056.03,21145.76
Metabolism,Lipid metabolism,ko00072,Synthesis and degradation of ketone bodies,22015.69,18348.77,14957.54,47209.81,44256.06,27314.99,16776.75,9326.39,14922.41,20313.1,53118.47,16985.9,13810.47,22817.73,24874.85,23013.52,16477.23,20969.51,25567.71,21384.28,24077.28,14121.56,77486.03,45661.71,56808.5,9112.86,23816.83,22595.11,16680.1,40380.79,12228.82,9191.37
Organismal Systems,Aging,ko04211,Longevity regulating pathway,14961.16,23990.15,7845.35,61557.82,18189.6,8053.72,15844.96,20076.51,8343.95,5816.09,7295.72,56163.71,17866.45,23013.24,20180.38,14968.34,22089.23,20149.2,13484.37,18242.13,22185.79,11191.76,100719.78,52121.07,76093.72,13016.19,3790.56,25756.6,43670.79,55568.81,15982.18,2348.84
Metabolism,Biosynthesis of other secondary metabolites,ko00311,Penicillin and cephalosporin biosynthesis,20614.97,31494.25,18918.03,11934.15,44400.21,6633.39,31420.02,20283.3,18095.48,19964.98,76881.67,45560.29,32978.78,10233.86,32581.11,6773.67,23594.99,18393.73,34380.19,22137.33,38656.51,12502.37,10075.53,13439.05,26231.46,26397.22,12995.57,27462.47,44119.57,24265.44,20591.11,14719.47
Cellular Processes,Cell growth and death,ko04214,Apoptosis - fly,13003.56,25357.5,9970.81,23881.99,42147.25,11199.21,20375.81,21055.64,32054.28,9512.57,30849.15,44624.66,21727.36,12869.58,31518.4,32616.86,18721.1,18319.4,33580.57,17350.93,31699.69,16079.32,38323.62,31298.77,38998.36,14019.79,6662.2,24623.04,45533.15,34906.89,19309.99,5812.99
Human Diseases,Infectious disease: parasitic,ko05146,Amoebiasis,25586.53,22987.3,24090.53,39707.17,7885.98,17850.57,22010.71,21411.75,10750.71,27914.29,52892.06,5058.7,22607.49,12859.52,19108.21,7823.93,24649.03,20664.98,9637.95,22564.67,44948.35,10267.49,43804.41,25919.27,38186.94,23339.72,16037.27,15788.39,16525.39,27047.41,16102.03,65846.2
Organismal Systems,Endocrine system,ko04917,Prolactin signaling pathway,29481.55,9904.41,27294.24,39239.01,20057.32,29430.16,15436.01,16688.14,8665.75,35054.67,51715.9,6490.11,23591.6,11579.41,15319.12,19297.78,23398.39,13309.55,27901.28,25139.26,24112.98,13191.01,49275.83,21280.61,31700.06,24957.73,28797.35,10315.05,15251.05,30927.01,14795.25,48026.04
Metabolism,Lipid metabolism,ko00120,Primary bile acid biosynthesis,25985.09,30698.6,25646.6,16311.25,16711.82,7096.82,26278.68,20965.8,21935.53,24418.45,46425.32,25119.97,30037.75,3025.96,25917.18,8226.75,31010.85,19623.88,19359.42,27892.19,38812.86,17655.73,7061.75,10835.01,20429.65,32210.3,23241.62,27883.45,9570.05,22170.36,34619.16,15606.77
Human Diseases,Infectious disease: bacterial,ko05100,Bacterial invasion of epithelial cells,14,99.73,158.2,112041.1,5387.74,222.5,397.92,211.06,2.8,188.06,1003.62,1960.57,6183.93,33171.14,319,344,11377.15,5256.76,707.04,1524.02,255.16,52,198987.49,52550.05,120986.7,709.5,29,9911.75,4890.72,87510.45,191.2,24.6
Organismal Systems,Excretory system,ko04964,Proximal tubule bicarbonate reclamation,18674.44,22600.79,9858.16,41664.21,16839.88,10463.91,14320.38,12564.57,6245.85,5350.57,22608.34,13415.62,8084.14,16439.12,16074.9,20704.82,15060.91,19353.13,10067.55,18100.6,24606.16,10069.96,68815.52,40328.48,52693.16,12177.27,7464.81,25023.03,8075.33,39455.67,15654.89,19128.02
Metabolism,Lipid metabolism,ko00590,Arachidonic acid metabolism,6028.07,12862.55,15484.48,41956.28,10624.49,10526.7,11894.59,7133.25,41653.84,7422.44,7977.34,14139.59,16642.2,13528.68,12829.09,32606.54,18753.69,13038.09,7866.38,8858.83,25758.14,14944.51,69292.6,26939.63,48319.89,8177.67,7035.91,15902.95,38717.97,34756.48,11407.36,19962.84
Organismal Systems,Endocrine system,ko04918,Thyroid hormone synthesis,5619.12,9851.35,15541.33,43435.06,10307.9,10343.84,11164.02,5710.01,40802.74,7144.91,8551.37,14171.57,17002.79,13641.94,14660.93,30125.68,18826.82,10501.2,7688.63,8383.26,25870.74,14742.57,69340.17,26704.41,47769.24,7835.71,6901.37,16195.25,39590.51,34886.38,11080.22,19999.23
Human Diseases,Cancer: overview,ko05231,Choline metabolism in cancer,20434.62,16936.67,20286.11,20661.76,8591.56,15155.55,19738.74,18582.88,5813.54,22302.06,9009.68,33851.04,22979.37,7213.33,18981.55,24648.02,14648.41,15558.28,9551.21,19153.63,9841.53,10116.92,38687.29,23112.65,28173.02,21078.1,12782.71,13193.4,32168.23,24582.96,13461.92,44077.14
Environmental Information Processing,Signal transduction,ko04013,MAPK signaling pathway - fly,8914.43,17097.19,7139.05,42347.7,12623.8,7611.6,12464.54,15225.54,6416.96,4410.76,5666.49,37193.36,14282.34,16927.43,15839.72,12985.43,18281.89,15662.36,11538.27,12649.06,21846.17,9239.58,67359.5,34758.92,51121.01,10535.38,2937.08,18544.36,39862.4,38921.08,14134.67,1916.09
Organismal Systems,Digestive system,ko04973,Carbohydrate digestion and absorption,2424,7582.53,19443.46,40201.23,25409.89,2368.75,8955.96,4577.1,28466.93,6093.47,4244.48,14843.07,14642.84,13024.99,4163.04,12272.2,16405.31,11434.95,26249.83,5607.23,20028.17,4589.1,75551.9,20170.11,46161.15,4149.42,2745.36,9999.11,38088.81,39203.37,5240.26,61811.82
Organismal Systems,Development and regeneration,ko04361,Axon regeneration,20243.92,15039.77,20243.86,20645.51,8361.61,15054.85,19211.04,17746.36,4958.54,22175.81,8476.98,33609.59,22838.37,7091.33,18231.95,18309.32,14624.16,14143.88,9285.61,18810.58,9759.03,9903.07,38666.29,22831.57,26986.31,20754.4,12718.01,12124.4,32129.23,24069.79,12899.97,44045.89
Environmental Information Processing,Signal transduction,ko04072,Phospholipase D signaling pathway,20243.92,15039.77,20243.86,20645.51,8356.61,15054.85,19211.04,17746.36,4958.54,22175.81,8476.98,33609.59,22838.37,7091.33,18231.95,18309.32,14624.16,14143.88,9285.61,18810.58,9759.03,9903.07,38666.29,22831.57,26986.31,20754.4,12718.01,12121.4,32128.23,24069.79,12899.97,44045.89
Organismal Systems,Digestive system,ko04974,Protein digestion and absorption,8795.97,31472.49,14162.59,952.91,16891.52,4329.16,19131.07,23607.73,39601.81,3662.86,14237.35,51024.58,15076.8,1510.5,25769.94,23791.88,17151.29,17569.25,20687.57,16954.31,39760.5,20721.61,348.45,9915.47,15762.59,19488.67,6159.11,27694.15,35098.27,20976.7,26944.26,2060.75
Metabolism,Metabolism of cofactors and vitamins,ko00830,Retinol metabolism,7637.31,16335.73,6329.41,41333.92,11537.78,2639.1,13424.4,16437.94,5186.71,7488.32,19500.02,43171.39,8951.02,12052.07,16339.25,5364.42,11597.22,13393.73,11702.56,9933.99,24680.31,10538.8,67855.28,27317.08,53145.08,11549.36,7608.84,20631.47,9194.82,40898.86,15248.15,3577.92
Metabolism,Glycan biosynthesis and metabolism,ko00510,N-Glycan biosynthesis,12528.18,24241.59,9380.4,6188.37,23955.25,10237.59,17602.07,22094.69,31428.67,9655.47,41674.37,38315.32,18699.5,6137.26,21080.92,16842.9,15722.02,14774.68,12481.33,14850.93,30360.13,14387.83,3431.33,15111.51,17418.89,11746.93,7410.09,18071.61,44758.52,13706.17,16946.94,4887.06
Metabolism,Lipid metabolism,ko00140,Steroid hormone biosynthesis,14620.23,26772.66,10168.57,19036.6,17887.69,4662.88,16178.01,18384.58,11271.13,1541.47,7161.88,24386.07,17924.06,6306.33,17199.57,6962.56,18170.23,16193,20107.58,17711.44,59328.7,10355.91,33403.66,26486.6,35544.57,13212.26,2078.64,24025.61,10329.34,28361.5,19762.65,1287.39
